,Player,Match,Competition,Date,Position,Minutes played,Total actions,Successful actions,Goals,Assists,Shots,Shots on target,xG,Total passes,Accurate passes,Long passes,Accurate long passes,Crosses,Accurate crosses,Dribbles,Successful dribbles,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses in own half,Recoveries,Opp. half recoveries,Yellow card,Red card,Defensive duels,Defensive duels won,Loose ball duels,Loose ball duels won,Sliding tackles,Successful sliding tackles,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duel,Offensive duels won,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes,Accurate through passes,xA,Second assists,Passes to final third,Accurate passes to final third,Passes to penalty area,Accurate passes to penalty area,Received passes,Forward passes,Accurate forward passes,Back passes,Accurate back passes,Conceded goals,xCG,Shots against,Saves / with reflexes,Unnamed: 65,Exits,Passes to GK,Accurate passes to GK,Goal kicks,Short goal kicks,Long goal kicks,Total_Accurate_Passes
65783,K. De Bruyne,Manchester City - Aston Villa 2:0,England. Premier League,2021-01-20,RCMF3,61,55,37,0,0,4,1,0.15,37,31,1,1,1,0,0,0,8,3,2,1,0,6,2,4,1,0,0,3,0,2,2,0,0,0,1,0,0,3,1,0,2,0,2,1,2,1,0.57,0,6,4,4,2,34,12,9,7,6,0,0.0,0,0,0,0,0,0,0,0,0,54
65784,K. De Bruyne,Manchester City - Crystal Palace 4:0,England. Premier League,2021-01-17,RCMF3,72,81,48,0,1,3,0,0.31,42,35,5,4,5,2,4,3,21,12,1,0,6,12,1,5,4,0,0,6,5,3,1,0,0,2,2,0,0,3,11,6,2,0,1,1,1,1,0.24,0,7,7,4,3,32,8,7,7,6,0,0.0,0,0,0,0,0,0,0,0,0,65
65785,K. De Bruyne,Manchester City - Brighton & Hove Albion 1:0,England. Premier League,2021-01-13,RCMF3,94,95,67,0,1,6,3,0.68,55,44,7,4,4,0,8,7,23,16,1,0,5,11,2,5,3,0,0,5,3,4,3,0,0,1,1,0,0,3,13,10,4,0,6,3,5,2,0.21,0,8,5,8,4,44,15,9,12,12,0,0.0,0,0,0,0,1,1,0,0,0,81
65788,K. De Bruyne,Chelsea - Manchester City 1:3,England. Premier League,2021-01-03,CF,88,71,36,1,1,4,1,1.03,34,30,2,2,1,1,3,1,17,4,2,0,4,8,2,4,2,0,0,6,2,2,0,0,0,0,3,0,0,1,7,2,5,0,5,1,1,0,0.21,0,4,2,1,1,27,9,7,12,12,0,0.0,0,0,0,0,1,1,0,0,0,56
65789,K. De Bruyne,Manchester City - Newcastle United 2:0,England. Premier League,2020-12-26,AMF,96,96,70,0,0,3,2,0.36,65,58,1,0,1,0,6,6,15,8,0,0,3,16,2,3,1,0,0,1,1,4,1,0,0,0,0,0,0,0,10,6,4,0,2,1,3,2,0.0,0,11,9,5,5,61,12,9,14,14,0,0.0,0,0,0,0,0,0,0,0,0,97
65790,K. De Bruyne,Southampton - Manchester City 0:1,England. Premier League,2020-12-19,AMF,98,89,49,0,1,2,1,0.17,41,35,2,1,2,1,5,2,28,9,1,1,1,11,1,1,1,25,0,5,2,8,1,0,0,0,1,1,0,4,14,5,1,0,5,0,2,0,0.5,0,5,4,3,1,29,8,5,13,12,0,0.0,0,0,0,0,0,0,0,0,0,59
65791,K. De Bruyne,Manchester City - West Bromwich Albion 1:1,England. Premier League,2020-12-15,AMF,95,79,46,0,0,4,2,0.45,57,40,2,2,9,2,4,2,8,3,0,0,1,11,1,3,3,0,0,0,0,2,0,0,0,0,0,0,0,4,6,3,4,0,6,1,2,0,0.5,0,5,4,9,3,51,9,8,4,4,0,0.0,0,0,0,0,0,0,0,0,0,63
65792,K. De Bruyne,Manchester United - Manchester City 0:0,England. Premier League,2020-12-12,AMF,94,80,42,0,0,3,0,0.62,37,29,2,1,1,0,3,3,18,10,2,1,2,8,1,6,4,0,0,7,3,4,2,0,0,0,2,0,0,3,5,4,2,0,1,1,6,1,0.29,0,7,4,6,5,29,14,11,6,6,0,0.0,0,0,0,0,0,0,0,0,0,57
65793,K. De Bruyne,Manchester City - Fulham 2:0,England. Premier League,2020-12-05,AMF,94,93,65,1,1,6,2,1.6,49,42,4,2,1,0,7,5,24,15,1,1,2,13,3,4,1,0,0,9,6,1,1,0,0,2,1,0,0,3,13,7,5,0,3,3,1,1,0.8,0,3,3,7,4,47,11,10,14,14,0,0.0,0,0,0,0,0,0,0,0,0,76
65794,K. De Bruyne,Manchester City - Burnley 5:0,England. Premier League,2020-11-28,AMF,95,81,54,0,2,3,1,0.17,56,42,4,2,3,1,2,1,14,7,1,1,3,14,5,4,1,0,0,2,1,4,3,0,0,0,0,0,0,2,7,2,2,0,6,0,3,2,0.43,0,6,4,10,6,43,12,10,8,6,0,0.0,0,0,0,0,0,0,0,0,0,73
65795,K. De Bruyne,Tottenham Hotspur - Manchester City 2:0,England. Premier League,2020-11-21,"LCMF3, RCMF3",96,82,49,0,0,7,0,0.37,47,32,4,1,6,0,4,3,17,9,1,0,1,16,3,3,1,0,0,3,1,5,2,0,0,0,1,0,0,2,8,6,6,0,2,4,3,0,0.34,0,7,5,10,3,36,19,12,3,3,0,0.0,0,0,0,0,0,0,0,0,0,56
65798,K. De Bruyne,Manchester City - Liverpool 1:1,England. Premier League,2020-11-08,AMF,98,69,29,0,0,4,0,0.85,35,25,0,0,6,2,1,1,10,3,1,0,2,12,3,4,1,0,0,3,0,2,0,0,0,0,2,0,0,2,4,3,1,0,1,2,2,0,0.29,0,2,1,4,3,30,11,8,7,6,0,0.0,0,0,0,0,0,0,0,0,0,45
65800,K. De Bruyne,Sheffield United - Manchester City 0:1,England. Premier League,2020-10-31,"LCMF3, RCMF3",94,88,58,0,1,3,1,0.29,62,50,3,0,1,0,3,2,13,3,1,0,3,11,1,6,3,0,0,2,0,3,0,1,0,0,1,0,0,1,7,3,2,0,6,2,5,2,0.06,0,6,3,5,4,50,14,10,15,15,0,0.0,0,0,0,0,0,0,0,0,0,84
65802,K. De Bruyne,West Ham United - Manchester City 1:1,England. Premier League,2020-10-24,"AMF, RCMF3",26,40,22,0,0,1,1,0.15,29,19,2,2,5,1,1,0,5,1,1,1,1,11,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,1,0.0,0,3,3,8,2,23,6,4,4,4,0,0.0,0,0,0,0,0,0,0,0,0,36
65804,K. De Bruyne,Leeds United - Manchester City 1:1,England. Premier League,2020-10-03,"AMF, RCMF3",94,82,46,0,0,5,0,0.22,36,31,0,0,3,1,7,3,23,7,0,0,1,7,0,9,7,0,0,10,4,1,0,1,1,1,2,0,0,4,12,3,5,1,5,0,1,0,0.39,0,4,4,4,3,30,15,15,2,2,0,0.0,0,0,0,0,0,0,0,0,0,56
65806,K. De Bruyne,Manchester City - Leicester City 2:5,England. Premier League,2020-09-27,"AMF, RDMF",95,96,56,0,0,2,0,0.05,60,43,8,4,7,1,6,2,21,9,0,0,0,16,0,7,7,0,0,5,3,4,1,0,0,0,1,0,0,3,12,5,5,0,6,2,4,2,0.38,0,11,9,6,3,49,13,7,4,3,0,0.0,0,0,0,0,0,0,0,0,0,72
65808,K. De Bruyne,Wolverhampton Wanderers - Manchester City 1:3,England. Premier League,2020-09-21,AMF,97,117,79,1,0,4,4,0.98,71,58,2,2,4,2,8,5,27,15,0,0,2,12,2,7,5,0,0,8,5,9,4,0,0,2,2,0,0,4,10,6,5,0,3,1,7,4,0.35,1,10,9,6,5,53,21,17,13,13,0,0.0,0,0,0,0,0,0,0,0,0,110
65812,K. De Bruyne,Manchester City - Norwich City 5:0,England. Premier League,2020-07-26,"LCMF3, RCMF3",96,96,63,2,1,4,2,0.43,56,44,5,4,5,2,10,6,23,13,1,1,1,14,2,5,4,0,0,5,4,2,1,0,0,0,1,0,0,9,15,7,13,0,4,1,5,3,0.95,0,3,2,17,12,51,15,8,5,5,0,0.0,0,0,0,0,0,0,0,0,0,80
65813,K. De Bruyne,Watford - Manchester City 0:4,England. Premier League,2020-07-21,"LCMF3, RCMF3",97,117,78,0,1,3,1,0.39,83,63,8,3,6,1,3,1,19,11,0,0,1,17,0,6,5,0,0,6,5,6,3,1,1,0,0,0,0,5,7,3,5,0,2,2,9,1,0.68,0,11,7,9,2,72,16,9,18,17,0,0.0,0,0,0,0,2,2,0,0,0,105
65815,K. De Bruyne,Brighton & Hove Albion - Manchester City 0:5,England. Premier League,2020-07-11,RCMF3,65,67,42,0,0,1,0,0.08,48,32,6,3,5,0,2,2,11,8,1,0,2,12,1,4,3,0,0,3,2,1,1,0,0,0,0,0,0,3,6,5,1,0,2,2,4,2,0.8,1,9,5,4,1,39,11,6,12,11,0,0.0,0,0,0,0,1,1,0,0,0,61
65816,K. De Bruyne,Manchester City - Newcastle United 5:0,England. Premier League,2020-07-08,"LWF, RCMF3",95,93,58,0,1,1,0,0.04,66,55,7,5,5,2,5,1,18,4,2,1,3,14,4,5,2,0,0,5,1,1,1,0,0,0,1,0,0,7,10,1,3,1,0,0,2,0,1.49,0,7,5,10,5,55,17,13,3,3,0,0.0,0,0,0,0,0,0,0,0,0,88
65817,K. De Bruyne,Southampton - Manchester City 1:0,England. Premier League,2020-07-05,RCMF3,39,55,36,0,0,3,0,0.36,40,29,7,5,7,2,2,1,9,6,1,1,2,8,0,4,3,0,0,3,3,2,0,0,0,0,0,0,0,1,3,2,2,0,1,0,3,1,0.08,0,12,10,9,4,33,11,8,4,3,0,0.0,0,0,0,0,0,0,0,0,0,62
65818,K. De Bruyne,Manchester City - Liverpool 4:0,England. Premier League,2020-07-02,AMF,100,48,25,1,1,4,1,0.88,23,18,1,1,2,1,5,1,12,5,1,1,0,6,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,4,7,2,3,1,2,1,3,1,0.53,0,3,1,5,4,19,6,3,6,5,0,0.0,0,0,0,0,0,0,0,0,0,34
65820,K. De Bruyne,Chelsea - Manchester City 2:1,England. Premier League,2020-06-25,"LW, RCMF3",99,77,51,1,0,2,1,0.1,47,40,5,3,2,0,5,3,11,6,1,0,1,3,2,4,3,75,0,4,3,0,0,0,0,0,0,1,0,0,6,3,0,1,1,1,3,3,0.0,0,7,4,5,2,36,13,9,6,6,0,0.0,0,0,0,0,0,0,0,0,0,67
65821,K. De Bruyne,Manchester City - Burnley 5:0,England. Premier League,2020-06-22,RCMF3,32,29,23,0,0,1,0,0.04,24,22,2,1,2,1,4,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,1,0,0.2,0,5,5,4,3,25,5,4,5,5,0,0.0,0,0,0,0,0,0,0,0,0,41
65822,K. De Bruyne,Manchester City - Arsenal 3:0,England. Premier League,2020-06-17,RCMF3,73,83,53,1,0,5,3,1.07,55,43,6,4,1,0,4,3,13,4,0,0,1,10,2,3,2,0,0,3,1,2,0,1,0,0,1,0,0,2,8,3,4,0,3,0,5,3,0.64,0,1,0,5,4,44,13,9,10,10,0,0.0,0,0,0,0,2,2,0,0,0,75
65825,K. De Bruyne,Leicester City - Manchester City 0:1,England. Premier League,2020-02-22,LCMF3,95,105,56,0,0,3,1,0.18,56,42,2,2,2,0,5,3,24,10,0,0,5,18,2,2,2,0,0,6,4,1,1,0,0,0,2,0,0,1,17,5,3,0,3,1,6,1,0.04,0,7,6,4,1,43,16,8,14,13,0,0.0,0,0,0,0,0,0,0,0,0,73
65826,K. De Bruyne,Manchester City - West Ham United 2:0,England. Premier League,2020-02-19,RCMF3,80,143,107,1,1,2,2,0.2,108,89,3,2,9,5,3,3,22,12,2,0,3,19,2,13,8,0,0,10,7,3,1,0,0,0,1,0,0,4,7,4,4,0,3,1,11,3,0.76,0,17,13,16,9,94,35,26,7,6,0,0.0,0,0,0,0,1,1,0,0,0,154
65827,K. De Bruyne,Tottenham Hotspur - Manchester City 2:0,England. Premier League,2020-02-02,"LW, RCMF3, CF",99,82,39,0,0,4,2,0.14,48,31,4,3,10,1,6,4,13,4,1,0,3,16,1,5,5,0,0,1,0,2,0,0,0,0,0,0,0,3,9,4,7,0,1,1,2,1,0.44,0,7,6,8,2,37,10,6,10,9,0,0.0,0,0,0,0,0,0,0,0,0,59
65829,K. De Bruyne,Sheffield United - Manchester City 0:1,England. Premier League,2020-01-21,RCMF,97,92,61,0,1,2,0,0.05,66,53,7,4,3,0,5,2,15,6,2,1,3,14,4,9,5,0,0,5,2,2,1,0,0,2,1,0,0,2,6,2,2,0,1,0,3,1,0.73,0,11,10,3,1,52,20,14,9,9,0,0.0,0,0,0,0,0,0,0,0,0,92
65830,K. De Bruyne,Manchester City - Crystal Palace 2:2,England. Premier League,2020-01-18,"LAMF, RCMF3",98,100,66,0,0,6,0,0.26,66,55,7,6,8,4,4,2,21,10,1,0,6,16,2,4,3,0,0,10,6,2,0,0,0,1,0,0,0,4,8,4,1,0,2,0,3,2,0.49,0,13,10,13,8,56,20,15,3,2,0,0.0,0,0,0,0,0,0,0,0,0,102
65831,K. De Bruyne,Aston Villa - Manchester City 1:6,England. Premier League,2020-01-12,RCMF3,64,87,63,0,1,0,0,0.0,65,52,3,1,5,0,3,1,15,9,1,1,2,10,3,8,4,0,0,4,2,4,3,0,0,0,1,0,0,1,6,3,2,0,1,0,4,2,0.51,1,6,4,5,3,49,18,12,12,12,0,0.0,0,0,0,0,2,2,0,0,0,88
65833,K. De Bruyne,Manchester City - Everton 2:1,England. Premier League,2020-01-01,RCMF,97,126,91,0,0,1,0,0.0,97,81,12,6,2,1,4,2,14,4,1,1,4,14,2,8,4,0,0,3,0,3,1,0,0,1,2,0,0,1,7,2,0,0,2,2,3,1,0.14,0,22,15,5,2,79,31,19,13,13,0,0.0,0,0,0,0,0,0,0,0,0,138
65834,K. De Bruyne,Manchester City - Sheffield United 2:0,England. Premier League,2019-12-29,"AMF, LCMF",95,108,68,1,1,5,2,0.31,69,54,3,1,4,0,10,6,24,11,2,1,3,18,0,5,4,0,0,8,2,3,2,0,0,0,0,0,0,1,11,6,5,0,3,0,4,0,0.25,0,6,2,9,2,65,21,12,12,12,0,0.0,0,0,0,0,1,1,0,0,0,84
65835,K. De Bruyne,Wolverhampton Wanderers - Manchester City 3:2,England. Premier League,2019-12-27,"AMF, RCMF, RCMF3",73,51,28,0,1,1,0,0.1,22,18,0,0,0,0,3,1,22,10,1,1,2,11,4,5,2,0,0,6,3,6,3,0,0,1,1,0,0,1,9,3,2,0,3,1,1,1,0.16,0,3,3,0,0,15,6,4,5,5,0,0.0,0,0,0,0,0,0,0,0,0,31
65836,K. De Bruyne,Manchester City - Leicester City 3:1,England. Premier League,2019-12-21,AMF,94,77,43,0,1,4,2,0.25,35,30,1,1,2,2,9,5,19,7,1,0,2,10,1,4,2,59,0,6,2,2,0,1,1,2,1,1,0,5,10,5,5,0,4,2,4,3,1.25,0,7,5,4,3,31,9,8,6,5,0,0.0,0,0,0,0,0,0,0,0,0,57
65837,K. De Bruyne,Arsenal - Manchester City 0:3,England. Premier League,2019-12-15,AMF,96,91,52,2,1,5,4,0.48,49,37,2,1,3,1,4,1,17,7,0,0,2,15,4,4,2,0,0,7,4,1,0,0,0,1,3,0,0,1,9,3,3,0,7,0,4,1,0.06,0,8,6,5,2,42,15,11,8,7,0,0.0,0,0,0,0,0,0,0,0,0,66
65838,K. De Bruyne,Manchester City - Manchester United 1:2,England. Premier League,2019-12-07,"LDMF, RDMF",98,113,82,0,0,4,0,0.39,79,64,6,6,11,4,10,8,22,15,1,1,3,22,2,11,8,79,0,7,4,2,1,1,0,1,1,1,0,4,12,9,6,0,4,0,7,5,0.55,0,7,4,13,9,62,25,18,3,2,0,0.0,0,0,0,0,0,0,0,0,0,112
65839,K. De Bruyne,Burnley - Manchester City 1:4,England. Premier League,2019-12-03,RCMF3,82,83,63,0,0,3,2,0.12,61,53,2,1,6,1,4,2,11,6,2,2,3,11,4,5,4,0,0,1,0,3,2,0,0,1,1,0,0,3,5,2,0,0,3,0,1,1,0.84,0,5,5,9,5,55,14,13,12,12,0,0.0,0,0,0,0,0,0,0,0,0,91
65840,K. De Bruyne,Newcastle United - Manchester City 2:2,England. Premier League,2019-11-30,"LCMF, RDMF",96,115,75,1,0,6,2,0.66,84,65,9,6,8,1,4,1,19,6,2,1,3,18,1,6,4,0,0,5,3,4,0,0,0,1,1,0,0,5,8,2,4,0,1,0,4,2,0.56,0,19,13,12,6,74,24,19,5,5,0,0.0,0,0,0,0,1,1,0,0,0,118
65842,K. De Bruyne,Manchester City - Chelsea 2:1,England. Premier League,2019-11-23,"RCMF3, RDMF",98,83,43,1,0,3,1,0.18,52,35,3,0,8,1,14,5,20,6,0,0,2,21,4,4,4,0,0,4,1,0,0,0,0,0,1,0,0,3,16,5,7,0,2,2,0,0,0.1,0,7,3,7,1,43,13,7,7,7,0,0.0,0,0,0,0,1,1,0,0,0,55
65845,K. De Bruyne,Liverpool - Manchester City 3:1,England. Premier League,2019-11-10,AMF,96,78,37,0,0,2,0,0.02,36,24,0,0,5,1,3,2,12,6,0,0,2,15,3,4,3,0,0,4,2,3,2,0,0,2,0,0,0,4,5,2,4,0,8,0,2,1,0.4,0,7,4,5,1,31,13,9,5,5,0,0.0,0,0,0,0,0,0,0,0,0,45
65847,K. De Bruyne,Manchester City - Southampton 2:1,England. Premier League,2019-11-02,"LDMF, RCMF3, RDMF",96,109,71,0,0,4,0,0.28,74,57,10,8,12,4,8,5,19,10,4,2,2,18,0,7,5,0,0,2,1,1,0,0,0,0,1,0,0,3,12,7,4,0,4,1,2,0,0.56,1,13,12,20,12,55,29,24,4,4,0,0.0,0,0,0,0,0,0,0,0,0,121
65848,K. De Bruyne,Manchester City - Aston Villa 3:0,England. Premier League,2019-10-26,RCMF3,76,76,44,0,1,2,0,0.05,45,34,5,4,4,2,3,1,18,7,0,0,3,12,1,3,1,0,0,11,5,2,1,0,0,2,2,0,0,3,5,1,2,0,2,0,4,1,0.33,0,7,6,6,3,38,17,11,7,5,0,0.0,0,0,0,0,1,1,0,0,0,67
65850,K. De Bruyne,Crystal Palace - Manchester City 0:2,England. Premier League,2019-10-19,"AMF, RCMF3",93,87,52,0,0,1,0,0.12,54,44,4,2,5,2,3,0,18,4,1,0,1,14,2,2,2,0,0,6,2,1,1,0,0,2,1,0,0,1,10,1,7,0,1,1,1,0,0.0,0,5,5,6,4,46,13,7,10,10,0,0.0,0,0,0,0,0,0,0,0,0,74
65851,K. De Bruyne,Everton - Manchester City 1:3,England. Premier League,2019-09-28,AMF,86,65,34,0,1,2,0,0.19,35,27,4,2,5,1,3,2,18,7,1,0,3,7,1,1,1,0,0,5,2,3,2,1,0,1,0,0,0,2,9,3,3,1,1,1,2,2,0.31,0,6,4,9,6,32,12,11,2,2,0,0.0,0,0,0,0,0,0,0,0,0,55
65852,K. De Bruyne,Manchester City - Watford 8:0,England. Premier League,2019-09-21,RCMF3,96,102,69,1,2,4,1,0.34,70,59,5,3,7,4,7,4,17,9,1,0,3,10,1,2,1,0,0,4,3,1,0,0,0,1,0,0,0,7,11,6,6,0,4,1,3,1,1.5,0,10,8,6,4,63,16,12,14,14,0,0.0,0,0,0,0,0,0,0,0,0,105
65854,K. De Bruyne,Norwich City - Manchester City 3:2,England. Premier League,2019-09-14,RCMF,38,32,21,0,0,0,0,0.0,24,20,1,1,5,3,2,0,5,0,1,0,1,8,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,2,0,1,0,0.21,0,5,4,8,5,20,5,4,1,1,0,0.0,0,0,0,0,0,0,0,0,0,38
65857,K. De Bruyne,Manchester City - Brighton & Hove Albion 4:0,England. Premier League,2019-08-31,RCMF3,73,57,39,1,1,4,1,0.47,35,29,2,2,4,2,5,3,11,7,1,0,3,8,1,6,4,0,0,2,2,1,0,1,1,1,0,0,0,2,7,5,4,0,0,1,2,1,0.48,0,2,2,4,3,28,9,9,7,7,0,0.0,0,0,0,0,0,0,0,0,0,55
65858,K. De Bruyne,AFC Bournemouth - Manchester City 1:3,England. Premier League,2019-08-25,RCMF3,100,92,62,0,0,3,0,0.64,67,50,7,3,3,1,3,3,13,9,1,1,1,15,2,8,7,0,0,6,3,2,2,0,0,0,3,0,0,0,4,3,2,0,2,1,8,1,0.0,0,14,8,9,4,58,19,10,10,8,0,0.0,0,0,0,0,0,0,0,0,0,85
65859,K. De Bruyne,Manchester City - Tottenham Hotspur 2:2,England. Premier League,2019-08-17,"AMF, RDMF",98,91,48,0,2,4,1,0.32,51,38,2,1,13,5,7,5,17,7,1,0,2,12,1,2,2,0,0,4,2,1,0,0,0,0,0,0,0,8,11,5,2,0,1,1,1,1,1.21,0,5,4,18,12,44,14,13,4,4,0,0.0,0,0,0,0,2,2,0,0,0,80
65860,K. De Bruyne,West Ham United - Manchester City 0:5,England. Premier League,2019-08-10,RCMF,80,71,50,0,1,1,1,0.1,47,37,6,3,2,1,4,2,13,8,0,0,5,11,5,4,2,0,0,6,5,3,1,0,0,1,0,0,0,3,4,2,4,0,3,0,3,1,0.29,0,10,8,5,3,34,15,13,9,8,0,0.0,0,0,0,0,0,0,0,0,0,74
65867,K. De Bruyne,Brighton & Hove Albion - Manchester City 1:4,England. Premier League,2019-05-12,RCMF3,15,16,12,0,0,1,1,0.04,8,7,0,0,0,0,0,0,4,4,0,0,0,1,1,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0.0,0,0,0,2,2,6,2,1,2,2,0,0.0,0,0,0,0,0,0,0,0,0,12
65868,K. De Bruyne,Manchester City - Tottenham Hotspur 1:0,England. Premier League,2019-04-20,RCMF3,37,36,22,0,0,2,0,0.06,23,18,1,1,2,0,2,1,7,4,0,0,0,3,0,2,2,0,0,4,2,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,0.0,0,1,0,2,1,22,6,3,5,5,0,0.0,0,0,0,0,2,2,0,0,0,30
65870,K. De Bruyne,Crystal Palace - Manchester City 1:3,England. Premier League,2019-04-14,RCMF3,95,108,78,0,2,3,0,0.44,71,63,6,4,3,1,5,1,24,12,4,2,1,10,2,8,6,0,0,9,7,3,2,0,0,0,1,0,0,4,8,1,2,0,2,0,1,1,0.4,0,11,9,10,9,57,19,17,12,10,0,0.0,0,0,0,0,3,3,0,0,0,117
65873,K. De Bruyne,Manchester City - Cardiff City 2:0,England. Premier League,2019-04-03,RCMF3,94,84,59,1,0,2,1,0.07,56,46,2,1,7,2,9,4,14,7,0,0,3,16,2,7,5,0,0,2,2,1,1,0,0,0,0,0,0,4,11,4,5,0,6,1,3,1,0.81,0,5,3,8,4,44,13,9,12,12,0,0.0,0,0,0,0,1,1,0,0,0,79
